roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,aroma,acidity,body,other_properties
rossette,Kerehaklu Red Honey Peaberry,https://rossettecoffee.com/products/kerehaklu-red-honey-peaberry,400,1200,sln-9,"red honey , anoxic red honey",kerehaklu,LIGHT,"black tea , mosambi , marigold , wild honey","introducing first of this year’s lots from kerehaklu estate . this is an anoxic red honey processed nanolot by pranoy thipaiah which has been sequentially fermented for 66 hrs and only peaberry’s are retained which adds to the round body and sweetness of the cup . experience a delicate tea - like , floral profile with notes of marigold , wild honey , black tea , and mosambi . light roasted to 13% dtr with a shorter maillard phase and a quick roast , this coffee is perfect for brewers who love a floral light roast with plethora of sweetness , a round body and crisp acidity . pro tip : for manual brews such as v60 please use a water temperature of 88ºc . kerehaklu red honey peaberry",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka","ajoy thipaiah , pranoy thipaiah",,crisp,round,floral
rossette,Melkodige Anaerobic Naturals,https://rossettecoffee.com/products/melkodige-anaerobic-naturals,350,1280,sln-9,anaerobic natural,melkodige,MEDIUM_LIGHT,"red apple , raspberry , black forest pastry",""" melkodige anaerobic naturals "" is a light - medium roasted coffee with an average 15% dtr with notes of raspberry , red apple , and black forest pastry , scoring 85+ on sca standards . it has a medium body and bright malic acidity , ideal for both espresso and filter brews . the anaerobic process , meaning oxygen - deprived , involves fermenting intact coffee cherries in sealed barrels with water for 48 to 72 hours , creating unique flavors . melkodige anaerobic naturals",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka","aveen rodrigues, yogitha",,malic,medium,""
rossette,Melkodige Lot 28,https://rossettecoffee.com/products/melkodige-lot-28,400,1280,"sln-29, sln-9",cima yeast inoculated natural,melkodige,LIGHT,,"launching a fruity and a funky light roast naturals from our latest partner farm melkodige estate . aveen the producer is known to produce top notch naturals and pushing the boundaries with post - harvest processing , for this lot the ripest sln 9 cherries with brix levels ranging between 20 - 24% were selectively hand - picked . the cherries were then soaked in water to cool them and remove the lighter and single seeded beans . the cherries are then surface dried and then moved into food grade containers to undergo anaerobic fermentation . while dropping the fruits into the container the cherries are inoculated with special cima yeast by using a atomiser . this breaks down the sugars present in the beans into complex compounds called esters which impart a complex aroma and flavor to the beans . if you have previously liked our lots such as dn 29 you will surely love this lot too . the resultant cup is red fruit forward with crisp acidity , big boozy body and a lingering winey finish and is suitable for manual brews such as pourover , french press , chemex and aeropress . melkodige lot 28",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka","aveen rodrigues, yogitha",,crisp,boozy,fruity
rossette,Monsoon Malabar AA,https://rossettecoffee.com/products/monsoon-malabar,600,1400,sln-13,monsooned,,MEDIUM,"nutty , earthy","a method unique to india , where the beans undergo a monsooning process for a duration of 3 months near the malabar coast where they are exposed to the moist monsoon winds to give them a unique flavour profile and in the process the beans swell up and fade resulting in a nutty and earthy coffee with reduced levels of acidity . this coffee is one of the world’s most sought after indian coffees across the world , we have profiled this coffee as a medium roast to highlight the balance and sweetness of the coffee . monsoon malabar is a treat for the fresh press , mokapot and espresso brewers . monsoon malabar aa",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chikmagalur , karnataka",,,,,""
rossette,Ratnagiri Koji Naturals,https://rossettecoffee.com/products/ratnagiri-koji-naturals,750,1450,sln-9,koji feremented natural,ratnagiri,LIGHT,,"the second of our koji series is aerobically processed naturals from ratnagiri estate , where the koji spores have been inoculated onto sanitized cherries in aerobic condition and then dried carefully for an extended period on raised beds . the resultant coffee has been roasted light to get a juicy and sweet brew . the cup offers a vibrant malic acidity coming from the berries and apples complimented by a jammy and dried fruit body with a lingering finish . this coffee is best enjoyed as a pourover , aeropress or as an espresso ratnagiri koji naturals",india,2024-10-03 19:34:02.875164,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",ashok patre,,malic,,""
rossette,Ratnagiri Koji Naturals ( Brewers Cup Winning Profile ),https://rossettecoffee.com/products/ratnagiri-koji-naturals-brewers-cup-winning-profile,850,1450,sln-9,koji feremented natural,ratnagiri,LIGHT,"peach , goji berries","the second of our koji series is aerobically processed naturals from ratnagiri estate , where the koji spores have been inoculated onto sanitized cherries in aerobic condition and then dried carefully for an extended period on raised beds . the resultant coffee has been roasted light to get a juicy and sweet brew . the cup offers a vibrant malic acidity coming from the apples complimented by a goji berries and peach wine acidity a sweet finish . this coffee is best enjoyed as a pourover , aeropress or as an espresso ratnagiri koji naturals ( brewers cup winning profile )",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",ashok patre,,"wine , malic",,""
rossette,Rotational Trial Roast (Melkodige Traditional Naturals),https://rossettecoffee.com/products/rotational-trial-roast-melkodige-traditional-naturals,455,1280,"",traditional natural,rossette,MEDIUM_LIGHT,,"being an experimental roastery , we at rossette continue to profile our upcoming launches and in this process we do a couple of roast until we arrive at the final profile . although the trial roasts are still delicious thanks to our partner farms who meticulously process these coffees . the aim to launch rotational trial roast is our effort to offer a selection of our coffees at a 30% discount rate this way we can share these amazing coffees with you rather than not been able to utilise or self consume those coffee ' s ps : all coffee are cupped and quality checked by our roasting them and then only offered to our patrons . *none of the offers or promotions will be valid on this coffee rotational trial roast ( melkodige traditional naturals )",india,2024-10-01 03:49:39.217245,2024-10-10 04:24:32.720095,"chikmagalur , karnataka",,,,,""
rossette,Thogarihunkal Robusta Naturals A,https://rossettecoffee.com/products/thogarihunkal-robusta-naturals,450,1400,sln-274,natural,thogarihunkal,MEDIUM_DARK,caramel,"this coffee is a naturally processed canephora varietal , hand - picked and dried under direct sunlight on the drying yard for 12 - 14 days until the moisture is about 11% . you can enjoy this super buttery cup with a biscuity mouthfeel with very little harshness ( very tough to find in a robusta ) and a long caramel aftertaste which lingers on . this coffee is sure pleaser for the moka pot and espresso fans . thogarihunkal robusta naturals a",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",nandan gowda,,,biscuity,buttery long aftertaste
rossette,Thogarihunkal Washed A,https://rossettecoffee.com/products/thogarihunkal-washed-a,450,1400,sln-5b,washed,thogarihunkal,MEDIUM,,"introducing our new thogarihunkal washed a . this sln 5b micro - lot is exclusively processed for rossette coffee lab with rich chocolate - forward notes , elegantly complemented by a velvety , creamy body that enrobes your senses . as you take a sip , a delightful hint of juicy red apple tinkles on your taste buds , adding a touch of refreshing element to the cup . this is a sweet and tea like cup which is a everyday coffee suitable for various brewing methods such as espresso , french press , mokapot , aeropress . thogarihunkal washed a",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",nandan gowda,chocolate,,creamy,"tea , sweet"
rossette,Unakki Clean Washed,https://rossettecoffee.com/products/unakki-clean-washed,550,1370,"sln-13, sln-9, sln-795","clean washed , washed",,MEDIUM,"orange marmalade , jasmine tea , dried apricot , white florals","introducing unakki clean washed , one of the sweetest washed coffees in our 2024 portfolio . this standout washed coffee from chikmagalur has pronounced florality for a washed coffee which is reminiscent of many international origin coffees especially from ethiopia . scoring 83+ on sca standards , it offers notes of white florals combined with jasmine tea , sweet notes of dried apricot and orange marmalade . profile roasted to a medium level ( 18 - 20% dtr ) , it’s ideal for both espresso manual brew lovers . brew with a higher coffee - to - water ratio for best results . unakki clean washed",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chikmagalur , karnataka",,,,,""
rossette,Vienna Roast,https://rossettecoffee.com/products/vienna-roast,475,1600,sln-795,washed,,DARK,,"for the people who like their coffee strong , here’s presenting our vienna roast which is the darkest of our standard roasts meant for the people who want the strong kick in their morning cup . pairs beautifully with milk and best suited to be brewed on a french press , mokapot , espresso machine or a south indian filter . vienna roast",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chikmagalur , karnataka",,,,,""
rossette,Truffle Twilight,https://rossettecoffee.com/products/truffle-twilight,500,1650,sln-795,washed,"barbara, attikan",MEDIUM_DARK,dried fruit,"our bestseller blend which combines two washed coffees one from baarbara estate and another one from attikan estate roasted to a medium - dark level to offer a fudgy chocolate like coffee with heavy body , minimal acidty and dried fruit overtones . this blend pairs extremely well with milk and is suitable for espresso , mokapot and french press brews . truffle twilight",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka","shreeraksha purnesh, sangameshwar group",,minimal,heavy,""
rossette,Attikan Microbial Washed,https://rossettecoffee.com/products/attikan-microbial-washed,500,1650,sln-795,microbial washed,"gungegiri, attikan, karadykan",MEDIUM_DARK,"raisins , dark chocolate fudge , almond nougat","rossette has been working closely with the sangameshwar group for past two years , sourcing from gungegiri and karadykan estates . this year , we present a specially processed washed lot from attikan estate . for this lot "" attikan microbial washed "" the coffee cherries undergo controlled fermentation to enhance sugar content , followed by washing and slow drying on raised beds for 16 days . the coffee is roasted to a medium - dark level with a ( 22 - 24% dtr ) and features rich notes of dark chocolate fudge , almond nougat , and raisins , offering a medium body and low acidity , ideal for milk - based drinks . this coffee is recommended to be brewed on espresso as well as manual brewing methods such as mokapot , south indian filter and aeropress . attikan microbial washed",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",sangameshwar group,,low,medium,""
rossette,Attikan Yeast Fermented Honey,https://rossettecoffee.com/products/atikkan-yeast-fermented-honey,350,1650,sln-9,yeast fermented honey,attikan,MEDIUM,,"presenting our latest medium roast honey process coffee from biligiriranga hills , introducing the popular attikan estate from the house of sangameshwar group . this is a unique microlot where the cherries are pulped and fermented with saccharomyces yeast with mucilage intact followed by extended drying for a period of 16 days on raised beds . the resultant cup offers a unique flavour profile with sparkling acidity and a round body and sweetness . this is an omni roast and is suitable for both espresso and manual brews . attikan yeast fermented honey",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,karnataka,sangameshwar group,,sparkling,round,""
rossette,Baarbara Peaberry,https://rossettecoffee.com/products/baarbara-peaberry,500,1600,sln-795,washed,barbara,MEDIUM,"citrus , tea forward , chocolatey , peaberry","introducing our very first washed peaberry coffee from our very own baarbara estate , a medium roast that reveals a complex profile with tea forward notes , sweet and syrupy body and a citrus and chocolatey finish . this coffee offers a medium body , medium acidity , and high sweetness . hand - sorted from select coffee cherries , it ' s ideal for aeropress , mokapot , or pourover brewing . best enjoyed black , though a cortado also beautifully complements its unique flavor profile . baarbara peaberry",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",shreeraksha purnesh,,medium,"syrupy , medium",""
rossette,Baarbara Washed,https://rossettecoffee.com/products/baarbara-washed,420,1600,sln-795,washed,barbara,MEDIUM_DARK,"honey , chocolate brownie , nutty","a conventional full bodied washed coffee with overtones of chocolate brownie accompanied with a sweet honey note and a lingering nutty finish . this medium - dark roasted coffee is a sure please for espresso and mokapot brewers who love to consume coffee with milk , or enjoy it black as a french press or aeropress . baarbara washed",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",shreeraksha purnesh,,,full,""
rossette,Dawn Cold Brew Blend,https://rossettecoffee.com/products/dawn-cold-brew-blend,500,1370,"sln-13, sln-9, sln-795","natural , honey , washed",unnaki,MEDIUM_LIGHT,"fruity , berry , chocolate , citrus , black honey","here ' s our take to offer you something refreshing , introducing dawn , a vibrant cold brew blend which offers a combination of funky yet complex palette with a citrusy long finish . this blend features 3 uniquely processed coffees from our newest partner farm unakki estate , chikmagalur . the coffee starts with balanced notes of chocolate with naturals adding to the fruity and berry notes and complimented by the sweet and citrus notes offered by the black honey coffee . this is sure pleaser for our cold brew fans but also works well across other manual brewing methods . dawn cold brew blend",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chickmagaluru, karnataka",utsav gowda,,citricy long finish . this,,sweet
rossette,Dusk Cold Brew Blend,https://rossettecoffee.com/products/dusk-cold-brew-blend,475,1650,"sln-13, sln-795","natural , washed",,MEDIUM_DARK,"chocolatiness , dark chocolate , roasted nuts , caramel","presenting dusk our versatile medium - dark cold brew blend , an amalgamation of two washed coffees which adds the body and chocolatiness and a natural coffee which makes the brew smooth with a malty finish . this blend delivers rich notes of dark chocolate , roasted nuts , and caramel . perfect as a cold brew or espresso , dusk offers a smooth , indulgent coffee experience that ' s sure to satisfy your taste buds . this blend can be consumed with or without milk . dusk cold brew blend",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"chikmagalur , karnataka",,,,,""
rossette,Equinox,https://rossettecoffee.com/products/equinox,500,1650,"sln-13, sln-795","honey , monsoon , monsooned , washed",,MEDIUM_DARK,"chocolate , hazelnut , cane syrup","this unique arabica blend is an amalgamation of 3 different coffees with 3 distinct processing techniques namely washed , honey and monsooned . the resultant cup is balanced with notes of hazelnut , chocolate , and cane syrup , complemented by a soft finish . equinox offers medium acidity and a medium body , creating a rich and smooth espresso experience that’s perfect for any time of day . equinox",india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"biligiri hills , karnataka",,,medium,medium,""
rossette,Harley Rum Aged,https://rossettecoffee.com/products/harley-rum-aged,900,1050,sln-9,"washed , rum aged",harley,MEDIUM,"citrus , rum , ripe blueberries , raisin",speciality washed coffee from harley estate has been aged with rum to enhance the inherent fruitiness and bring out the sweet flavours of rum ; raisin . the resultant coffee develops a good body with notes of ripe blueberries with a citrus finish . this coffee has a long lasting finish which shall linger on your palate with a creamy texture . harley rum aged,india,2024-10-09 01:02:35.236040,2024-10-10 04:24:32.720095,"sakleshpur, karnataka","dm purnesh, dm shankar",,,creamy,""
quick_brown_fox,Vontekad Estate SLN795 [Farm Organic Washed] [Espresso Roast],https://qbfcoffee.com/collections/all-coffees/products/ms-estate-organic-espresso-roast,650,1095,sln-795,"washed farm organic , washed",vontekad,MEDIUM_DARK,"dried dates , clementine , milk chocolate","tasting notes : dried dates , clementine , milk chocolate roast level : espresso location - chikmagalur , kn elevation - 760 - 1430m varietal - sln 795 process - washed - farm organic weight - 250gm / 1kg vontekad estate sln795 [ farm organic washed ] [ espresso roast",india,2024-10-03 19:33:45.849481,2024-10-10 04:26:34.491313,"chickmagaluru, karnataka","ashok kurian, rohan kurian",,,,""
quick_brown_fox,Cold Brew Blend,https://qbfcoffee.com/collections/all-coffees/products/cold-brew-blend,550,,,,,,"milk chocolate , toffee , tropical fruit","make your own smooth , less - acidic , and highly caffeinated cold brew at home . tasting notes : milk chocolate , toffee , tropical fruit weight - 250gm/1kg cold brew blend",india,2024-10-03 19:33:45.849481,2024-10-10 04:26:34.491313,,,,,,""
quick_brown_fox,Badnekhan Estate SLN9 [Washed] [Espresso Roast],https://qbfcoffee.com/collections/all-coffees/products/badnekhan-estate,595,1400,sln-9,washed,badnekhan,MEDIUM_DARK,"stone fruit , cacao , brown sugar","tasting notes : stone fruit , cacao , brown sugar roast level : espresso location - chikmagalur , kn altitude - 1400m varietal - sln 9 process - washed weight - 250gm/1kg badnekhan estate sln9 [ washed ] [ espresso roast",india,2024-10-03 19:33:45.849481,2024-10-10 04:26:34.491313,"chickmagaluru, karnataka",roshin varghese,,,,""
quick_brown_fox,Ratnagiri Estate Lot RM19 [CM Yeast Naturals] [Filter Roast] [Microlot],https://qbfcoffee.com/collections/all-coffees/products/ratnagiri-estate-lot-rm19-cm-yeast-naturals-filter-roast-microlot,795,1350,cauvery,"carbonic maceration , cm yeast natural , cauvery",ratnagiri,MEDIUM_LIGHT,"strawberry , rose , vanilla","tasting notes : strawberry , rose , vanilla roast : filter farmer : ashok patre location - bababudan giri , kn elevation - 1250 - 1450m varietal - cauvery process - cm yeast naturals fermentation - 60 hours carbonic maceration with yeast weight - 250gm / 1kg ratnagiri estate lot rm19 [ cm yeast naturals ] [ filter roast ] [ microlot",india,2024-09-06 02:04:54.998827,2024-10-10 04:26:34.491313,"chickmagaluru, karnataka",ashok patre,,,,""
