roaster,name,link,price,altitude,varietal,processing,estate,roast_level,tasting_notes,description,country,scraped_at,transformed_at,location,producers,coffee_type,aroma,acidity,body,other_properties
bloom_coffee_roasters,bcr custom sample pack of 3,https://bloomcoffeeroasters.in/collections/coffee/products/bcr-custom-sample-pack-of-3,450,,,,,MEDIUM_LIGHT,,"can ' t quite make up your mind about which our delicious coffees would be your idea ? commitment phobic ? don ' t worry about it , let us help you out ! choose three coffees you think you ' ll like , and the grind size you need , and we ' ll send 75 gram samples of those coffees to help you pick your one or maybe even two true loves ! this sample pack includes all our medium , medium dark and dark roasts , but not the light roasts . click here to check out the light roast sampler",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,,,,,,""
bloom_coffee_roasters,bcr light roast sample pack,https://bloomcoffeeroasters.in/collections/coffee/products/bcr-light-roast-sample-pack,500,,,,,LIGHT,,"the light roast sample pack can ' t quite make up your mind about which our delicious coffees would be your idea ? commitment phobic ? don ' t worry about it , let us help you out ! choose three coffees you think you ' ll like , and the grind size you need , and we ' ll send 75 gram samples of those coffees to help you pick your one or maybe even two true loves ! this one is for all the light roast lovers out there",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,,,,,,""
bloom_coffee_roasters,greenland estate (washed) - valparai (tamil nadu) - medium roast,https://bloomcoffeeroasters.in/collections/coffee/products/greenland-estate-washed-medium-roast,520,1550,"sl9 , govind , sl9","washed , washed",greenland,MEDIUM,"sweet cherry , bakers chocolate , honey","elevation : 1550 masl variety : sl9 processing : washed roast : medium producer : govind er tasting notes : sweet cherry , bakers chocolate , honey the greenland estate is nestled in valparai , tamil nadu , within the dominion of the anamalai tiger reserve . this region primarily thrives as a tea - growing region , though coffee is gradually gaining ground . encompassing 200 acres , the estate is perched at an elevation ranging from 5100 ft to 5700 ft above sea level , a uniquely lofty position that imparts exceptional qualities to its coffee beans . derived from meticulously handpicked sl9 cherries , this washed processed coffee undergoes a meticulously crafted journey . following a careful pulping process , the cherries are placed within specially designed fermentation tanks , where they rest for 16 - 18 hours . subsequently , the seeds embark on a deliberate slow - drying process on raised beds for a span of 10 - 14 days . the medium roast profile that we have crafted encapsulates the best of both realms . this coffee retains its distinctive sweet citrus acidity and the captivating floral notes that enamoured us upon our initial encounter . simultaneously , it introduces a lasting and comforting essence of baker ' s chocolate and raw honey , creating a special balance of flavours . this unique composition yields a remarkable coffee experience , effortlessly adaptable to manual brewing or as an espresso , and equally delightful when enjoyed black or with milk",india,2024-08-27 00:00:00.000000,2024-09-15 02:38:17.229161,"tamil nadu , valparai",govind er,,,"sweet , citrus",,""
bloom_coffee_roasters,hoysala estate - washed - chikmagalur - medium light roast,https://bloomcoffeeroasters.in/collections/coffee/products/hoysala-estate-washed-chikmagalur-medium-light-roast,525,1050,"sachimore , sachimore","washed , washed",hoysala,MEDIUM_LIGHT,"coffee blossom , stone fruit , & oranges","elevation : 1050 masl variety : sachimore processing : washed fermentation : in fruit fermentation before pulping roast : medium - light producers : hoysala coffee tasting notes : coffee blossom , stone fruit , & oranges the hoysala estate was started in the late 1800s is has been family - owned since the 1950 ' s . this washed process lot comes from their farm located in angadi village near chikmagalur where the hoysala dynasty started in the 9th century . sunil & mohan and their families have taken hoysala coffee to similar heights through their incredible knowledge and expertise in growing , and processing coffee . working with them for the first time during this harvest , and trying some of their coffees really blew us away . like other coffees at their farm , this washed coffee is grown using regenerative farming practices , and no chemical fertilisers . this fermented - washed sachimore was one of our favourite washed coffees from the previous year ' s harvest and features a delicate floral note reminiscent of coffee blossom . with a medium - light roast , the coffee has developed a lovely stone fruit sweetness and a subtle orange acidity . this coffee works superbly as a filter and as an espresso , and pairs very well with small milk beverages like a cortado or macchiato . we hope you love this one as much as we have",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,"chikmagalur , angadi village",hoysala coffee,,,,,""
bloom_coffee_roasters,kenny ji - the cold brew blend,https://bloomcoffeeroasters.in/collections/coffee/products/kenny-ji-the-cold-brew-blend,480,,,,,,,"bright | smooth | easy “you don’t have to wait” any longer for the bloom coffee roasters cold brew blend . “the promise” that this holds is that , be it in “the morning” or “in the rain” or at the “end of the night” you will “forever be in love” with the smooth silky “silhouette” of this delicious coffee . from “the moment” you’ll have your first sip “by the time it’s over” , it’ll leave you “breathless” and wanting more . made from a top secret blend coffees , specially roasted for cold brew . it is so smooth that you might even find yourself listening to kenny g’s greatest hits …hit the sax",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,,,,,smooth silky,""
bloom_coffee_roasters,meera - medium light roast,https://bloomcoffeeroasters.in/collections/coffee/products/meera-medium-light-roast,530,1350,"sln6 , chandragiri , chandragiri , sln6","washed & naturals , naturals , washed","venkids valley , krishnagiri",MEDIUM_LIGHT,"caramel , bakers chocolate , berries and vanilla","estates : venkids valley estate & krishnagiri estate region : coorg & chikmagalur elevation : 1100 - 1600 masl varietal : sln6 , chandragiri processing : washed & naturals roast : medium light tasting notes : caramel , bakers chocolate , berries and vanilla meera - a fearless espresso blend that breaks the conventions of what an espresso blend should be ! meera is our medium - light roast espresso blend with notes of strawberries , baker’s chocolate , vanilla and decadent caramel . this is our tribute to one of india ' s most celebrated mystic poets , meera bai . meera features two incredible coffees , our staple washed arabica from coorg’s favourite plantation , the venkids valley estate , and a stunning “natural naturals“ from the krishnagiri estate , located in some of the highest elevations of chikmagalur . what do we get when we blend a clean bright washed and a super sweet , jammy natural naturals ? a yummy , sweet , super complex , rich espresso , which holds its own in milk beverages as well ! it’s fair to say that this blend has had a pretty long development phase , but you know that we don’t take our blends lightly , and launch them only when we’re really happy with it , and right now we’re delighted with this and are finally ready to introduce you to “meera” . recommended recipe : dose : being a lighter roast , we would recommend dosing one - half a gram lesser than what you would dose for a medium/medium dark roast coffee grind size : grind a step or two finer than what you would normally for a medium roast yield : we recommend a yield of 2 . 5 times the dose of the dry coffee . for eg : dose : 20 grams ; yield : 50 grams time : the lighter the roast , the more you need to extract to get good sweetness and complexity . we like shots between 28 - 33 seconds for a straight 9 - bar approach for meera . if you can pressure profile , we like to start with a 5 - second pre - infusion at 2 bars , and then ramp up to 8 bars till we hit the desired yield , which usually takes around 45 - 50 seconds . puck prep : we can ' t over - emphasise how important the puck prep is for a coffee like this . make sure , you dose correctly and evenly , wdt is highly recommended here , tamp as evenly as you can and clean around the edges of the portafilter . this will minimise channelling and give you a more even extraction",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,"chikmagalur , coorg",meera bai,arabica,,,,""
bloom_coffee_roasters,papakuchi coffee (washed) - coorg (light roast),https://bloomcoffeeroasters.in/collections/coffee/products/papkuchi-coffee-washed-coorg-light-roast,500,1097,"sln6 , sln6","washed , washed",venkids valley,LIGHT,"malt , red apple , pomegranate juice","elevation : 3600 ft . varietal : sln6 processing : washed roast : light tasting notes : malt , red apple , pomegranate juice for those who know , pavan and shilpa nanjappa ' s magnificent coffee estate , the venkids valley estate , goes by the name of “papakuchi coffee” . as we all know by now , they grow some super duper delicious arabicas as well as robustas that have received so much love from everyone who has had them over the last year . when we got this year’s washed arabica and did our profiling process we realised that this coffee had somehow become sweeter and even more yummy than the year before , and to our sheer joy it really stood out as a light roast ! with sweet notes of red apple and pomegranate juice , a subtle acidity , and a pretty rich body this light roast is a great addition filter coffee lover . the best part , this coffee will be available throughout the year , and if we have it our way , forever and ever",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,"shilpa nanjappa , pavan","arabica , robustas , arabicas",,,,""
bloom_coffee_roasters,pulney coffee (washed) - pulney hills - medium roast,https://bloomcoffeeroasters.in/collections/coffee/products/pulney-coffee-washed-pulney-hills-medium-roast,510,1499,"chandragiri and sl9 , sl9 , chandragiri , laks","washed , washed",,MEDIUM,"citrus fruits , cherries , and nuts","farm : laks farm , pachalur village planter : mr . h . r . iyer elevation : 4920 ft . variety : chandragiri and sl9 processing : washed roast : medium tasting notes : citrus fruits , cherries , and nuts originating from one of the highest growing regions in tamil nadu , these coffees are dense and have a beautiful aftertaste because of the high growing region . the laks farm is completely organic and devoid of any chemical pesticides and fertilisers . the coffees are intercropped with oranges , cardamom , pepper and banana . the beans of the highest brix are identified ( colour coded bands are given to workers at the estate to pick the cherries ) . they are sorted for defects twice before using the penagos washer + pulper . floats are removed and the coffee beans with little bit of mucilage are dried on raised beds . they are exposed to the morning sun for the first two days and then completely dried in shade for a period of 20 - 25 days . mr . iyer is without doubt one of the sweetest and most earnest people we have encountered in coffee and with passion and efforts of viggnesh in processing , this coffee was one of the best washed coffees we tasted this year ! this medium roast has sweet notes of cherry , and nuts with a mild citrus acidity , and works really well both black and with milk , as a filter or an an espresso",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,"tamil nadu , pachalur",mr . h . r . iyer,,,"citrus acidity , mild",,""
bloom_coffee_roasters,ratnagiri estate - washed - chikmagalur - light roast,https://bloomcoffeeroasters.in/collections/coffee/products/ratnagiri-estate-washed-chikmagalur-light-roast,600,1450,"catuai , catuai , cautai","washed , washed",ratnagiri,LIGHT,"malta , coffee blossom and cherries","elevation : 1450 masl variety : catuai processing : washed fermentation : 30 hours anaerobic fermentation roast : light producers : mr . ashok patre tasting notes : malta , coffee blossom and cherries this washed cautai is one of the cleanest and brightest coffees we tasted this year . the cherries underwent a 30 - hour in - fruit anaerobic fermentation and were then pulped and washed , and slowly dried for 20 days on raised beds . the anaerobic fermentation along with an immaculate washing process , has created a phenomenal layer of complexity while retaining the coffee ' s true flavour profile . catuai as a variety is making a resurgence the world over , and farms like ratnagiri are leading the way for it in india . with meticulous farming methods and advanced processing techniques , indian catuais are becoming some of the coveted coffees . with this washed coffee , we feel that the variety really shines through in the cup . for washed coffees , we like to focus on creating a clean but elegant cup through our roast profile . with a quick drying and longer maillard , we were able to retain its floral notes and its citrus acidity while creating a sweet and lingering finish and structure . this coffee is perhaps best enjoyed as a filter , but who’s stopping you from making incredible espressos from this",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,mr . ashok patre,,,citrus,,""
bloom_coffee_roasters,ro-busta rhymes - dark roast,https://bloomcoffeeroasters.in/collections/coffee/products/ro-busta-rhymes-medium-dark-roast,440,1005,"arabica s795 , robusta , s795","washed arabica and naturals robusta , natural processed , naturals , washed","moganad , venkids valley",MEDIUM_DARK,,"elevation : 3300 ft . – 4500ft . varietal : arabica s795 , robusta planters : navin rajes , and pavan nanjappa processing : washed arabica and naturals robusta roast : medium dark this blend features the lovely washed arabica from the moganad estate , and the natural processed robusta from the venkids valley estate . but beware , if you’re expecting a bitter , boring blend , this will let you down ! ro - busta rhymes is a super duper tasty blend that really brings the best out both species of the coffees , but what’s really interesting is that acidity and the sweetness in this blend comes a great deal from the robusta ! we recommend you try this blend black just to really get a feel of what the robusta brings to it",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,"navin rajes , and pavan nanjappa","arabica , robusta",,,,""
bloom_coffee_roasters,salawara estate - yellow honey - sakleshpur - light roast,https://bloomcoffeeroasters.in/collections/coffee/products/salawara-estate-yellow-honey-sakleshpur-light-roast,700,950,"s795 , s795","yellow honey , honey processes , yellow honey , washed",salawara,LIGHT,"amla , kinnow & jaggery","elevation : 950 masl variety : s795 processing : yellow honey fermentation : 75 hours anaerobic fermentation roast : light producers : sharan gowda tasting notes : amla , kinnow & jaggery we’ve been working with the salawara estate since we started roasting coffee , and we have seen how their coffee has gotten better year after year . sharan , over the last four years , has adopted the most modern farming and processing techniques that have produced incredibly complex and delicious coffees that we’ve been enjoying . apart from doing experimental processes and fermentation techniques , sharan has also been able to take more traditional processes and improve their quality immensely . for this year , apart from the washed arabica that we buy , we were amazed at the quality of the honey processes arabicas that we got from them . both the red and the yellow honey were exceptional coffees , but we chose to get the yellow honey since we found it to be a brighter cup . this yellow honey comes from the s795 plants grown at salawara and was fermented aerobically before being pulped and sun - dried for 20 days . this controlled fermentation and slow drying has created a coffee with immense sweetness which has allowed us again , to roast light like we like to , and create a super bright coffee with notes of amla , kinnows , and the sweetness of jaggery . the lingering tangy sweetness is a real hallmark of this coffee . we enjoy the bright acidity in this coffee , and it comes through best as a pour - over or an aeropress",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,sharan gowda,"arabica , arabicas",,bright,,""
bloom_coffee_roasters,salawara estate – chikmaglur - dark roast,https://bloomcoffeeroasters.in/collections/coffee/products/salawara-estate-dark-roast,460,954,,"washed , washed",salawara,DARK,"caramel , milk chocolate , subtle hints of citrus","tasting notes : caramel , milk chocolate , subtle hints of citrus elevation : 3130 ft . varietal : processing : washed roast : dark spread across 400 acres in the fabled hills of chikmaglur , the salawara estate was started in 1880 , and produces some delicious arabicas and robustas that have won various awards in india and abroad . this washed arabica grown at 3130 ft . tastes of the rich terroir of the estate , dotted with exotic herbs and spices that are grown alongside the coffee . the coffee is roasted darker than our medium to bring out more of the delicious milk chocolate",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,chikmaglur,,"arabica , robustas , arabicas",,,,""
bloom_coffee_roasters,satchmo - dark roast,https://bloomcoffeeroasters.in/collections/coffee/products/satchmo-dark-roast,470,1005,"sl6 & sl9 , sl6 , sl9","washed , washed",,MEDIUM_DARK,"chocolate , dark caramel , and hints of citrus","elevation : 3200 - 3400 ft . varietal : sl6 & sl9 planters : pavan nanjappa & sharan gowda processing : washed roast : medium dark tasting notes : chocolate , dark caramel , and hints of citrus chocolate , dark caramel and hints of citrus , sounds to us like one of the magnificent trumpet solos of the one the only louis armstrong ! for us , louis armstrong a . k . a . satchmo is the epitome of balance , with a voice that can go from a deep , rich gravel to almost fragile falsettos . every moment of every song is filled with gorgeous melody , depth and genius improvisations ! “satchmo” the blend , just like it’s muse , has pitch perfect sweetness , a deep body that swells like a crescendo , and a subtle “vibratoesque” citrus acidity . a coffee that goes not toe to toe , but “cheek to cheek” with all accompaniments . the blend is on the darker side of a medium , and has the richness of chocolate and dark caramel , and a raspy acidity that can cut through whatever you throw at it , yes we’re looking at you milk and sugar . satchmo makes the perfect espressos , moka pots , french presses , south indian filters , and what not , to get you a coffee that’ll make you see sit across and think “what a wonderful world”",india,2024-09-02 04:48:32.811752,2024-09-15 02:38:17.229161,,pavan nanjappa & sharan gowda,,,"raspy , citrus acidity",deep,""
