Name of Coffee,Price,Producers,Region,Type,Roast Profile,Altitude,Process,Varieties,Flavor Notes,Description,Link
kiri aa top (kenya),₹610.00,kiri washing station,"mount kenya, kirinyaga",100% arabica,filter roast,1450 masl,washed,"ruiru 11, sl 28, sl 34, batian","blueberry, walnut, concord grape","we’ve explored several coffee origins around the world but kenya remains one of our favourites. producing some of the world’s most exotic tasting coffees, kenyan lots are renowned for their exhilarating acidity, bright and clear floral and fruit notes with juicy body and pleasant nutty aftertastes. these beans are generally super-dense packing explosive flavours that are easy to bring out in your cup without the need for complex brewing recipes. kenya yields a biennial crop with the primary harvest between october and december and the second harvest between june and august. our lot from the kiri washing station in the kirinyaga county was harvested in the primary season and arrived in india in february. we have spent over a month profiling it to ensure we deliver a coffee to you that is delicious, juicy, packed with exotic flavours and ready to make your palate explode. manual brewing methods are best suited for this filter roast with our suggestions being kalita, v60, chemex and aeropress. the coffee will also work as an espresso if you are someone who likes sparkling acidity and tangy, fruity and strong winey notes in your shot (make sure you experiment with grind size as this is a filter roast and it will require some dial-in patience to achieve the ideal shot). enjoy notes of blueberries and concord grapes bouncing of a juicy, lingering texture to end with an anti-climactic walnut finish. this coffee is made for all varieties of coffee enthusiasts with diverse preferences and is something you should definitely not miss. slurp away! blueberry
walnut
concord grape we’ve explored several coffee origins around the world but kenya remains one of our favourites. producing some of the world’s most exotic tasting coffees, kenyan lots are renowned for their exhilarating acidity, bright and clear floral and fruit notes with juicy body and pleasant nutty aftertastes. these beans are generally super-dense packing explosive flavours that are easy to bring out in your cup without the need for complex brewing recipes. kenya yields a biennial crop with the primary harvest between october and december and the second harvest between june and august. our lot from the kiri washing station in the kirinyaga county was harvested in the primary season and arrived in india in february. we have spent over a month profiling it to ensure we deliver a coffee to you that is delicious, juicy, packed with exotic flavours and ready to make your palate explode. manual brewing methods are best suited for this filter roast with our suggestions being kalita, v60, chemex and aeropress. the coffee will also work as an espresso if you are someone who likes sparkling acidity and tangy, fruity and strong winey notes in your shot (make sure you experiment with grind size as this is a filter roast and it will require some dial-in patience to achieve the ideal shot). enjoy notes of blueberries and concord grapes bouncing of a juicy, lingering texture to end with an anti-climactic walnut finish. this coffee is made for all varieties of coffee enthusiasts with diverse preferences and is something you should definitely not miss. slurp away!",https://naivo.in/product/kiri-aa-top-kenya/
kiryama red bourbon (burundi),₹535.00,tib coffee,muyinga,100% arabica,filter roast,1500 – 1700 masl,washed,red bourbon,"rosehip, black tea, grapefruit","you’ve probably encountered coffee produced using the burundi washed process. we pondered: why not bring you a coffee processed this way directly from its place of origin? floral, tea-like, and brimming with delicious citric acidity, this red bourbon from the muyinga province in burundi perfectly encapsulates the exotic flavor profile of africa. subtle hints of rosehip in the aroma provide a curious prelude to its syrupy texture. a prominent note of black tea with undertones of grapefruit leads to a crisp and clean finish. this coffee was produced by tib coffee (this is burundi) in the muyinga province in northern burundi, a stunning hilly region with an average altitude of 1500 – 1700 masl. around 2000 farmers, with farms spanning 50 hectares, collaborate with the washing station. coffee is pivotal to burundi’s economy and serves as a significant source of income for families, supporting education and providing access to cash for housing construction. kiryama derives from the verb “kuryama,” meaning “to sleep” in kirundi. royal princes used to rest on this hill, finding respite before engaging in their customary activities in the region. they favored this hill, influencing catholic missionaries to establish a parish where italian priests resided for more than 20 years. rosehip
black tea
grapefruit you’ve probably encountered coffee produced using the burundi washed process. we pondered: why not bring you a coffee processed this way directly from its place of origin? floral, tea-like, and brimming with delicious citric acidity, this red bourbon from the muyinga province in burundi perfectly encapsulates the exotic flavor profile of africa. subtle hints of rosehip in the aroma provide a curious prelude to its syrupy texture. a prominent note of black tea with undertones of grapefruit leads to a crisp and clean finish. this coffee was produced by tib coffee (this is burundi) in the muyinga province in northern burundi, a stunning hilly region with an average altitude of 1500 – 1700 masl. around 2000 farmers, with farms spanning 50 hectares, collaborate with the washing station. coffee is pivotal to burundi’s economy and serves as a significant source of income for families, supporting education and providing access to cash for housing construction. kiryama derives from the verb “kuryama,” meaning “to sleep” in kirundi. royal princes used to rest on this hill, finding respite before engaging in their customary activities in the region. they favored this hill, influencing catholic missionaries to establish a parish where italian priests resided for more than 20 years.",https://naivo.in/product/kiryama-red-bourbon-burundi/
la pastora (costa rica),₹465.00,cooperativa tarrazu,tarrazu,100% arabica,omni roast,1200 – 1900 masl,washed,"caturra, red and yellow catuai","cocoa nibs, melons, grapes","from the world-famous coffee region of tarrazú in costa rica comes la pastora – a balanced coffee with citrus acidity and a beautiful body carrying notes of cocoa nibs and melons with a grapy finish. la pastora is a branded coffee that is solely produced by coopetarrazú r.l. the cooperative prides itself on a focused set of commitments to sustainability, protection and improvement of the environment, high-quality products/services and improving the quality of life of its members and the associated community. cocoa nibs
melons
grapes from the world-famous coffee region of tarrazú in costa rica comes la pastora – a balanced coffee with citrus acidity and a beautiful body carrying notes of cocoa nibs and melons with a grapy finish. la pastora is a branded coffee that is solely produced by coopetarrazú r.l. the cooperative prides itself on a focused set of commitments to sustainability, protection and improvement of the environment, high-quality products/services and improving the quality of life of its members and the associated community.",https://naivo.in/product/la-pastora-costa-rica/
mizoram naturals (india),₹430.00,7000 steps,mizoram,100% arabica,espresso roast,800 – 1300 masl,natural sun-dried,"selection 9, cauvery, chandragiri","baked biscuits, cocoa, dried coconut","we are pleased to introduce our inaugural offering from an unconventional coffee-producing region in india. northeast india, often overshadowed by the prominence of its tea cultivation, has recently emerged as an enigmatic protagonist in the country’s agricultural narrative. the ascendancy of coffee in this region reflects a growing awareness and a burgeoning reputation. coffee plantations in northeast india are often set amidst lush forests, rolling hills, and high-altitude terrains. the biodiverse surroundings not only contribute to the unique flavor profiles of the coffee but also make it an environmentally sustainable crop. this assortment of naturals hails from the enchanting region of mizoram. we’ve tailored a medium-dark espresso profile that elicits a nostalgic aroma of baked biscuits, and captivating notes of cocoa and dried coconut. in the realm of indian coffee, this offering stands as a testament to the evolving story of northeast india, a narrative that marries tradition with innovation, sustainability with sensory delight, and an awakening to the hidden treasures within this agricultural landscape. baked biscuits
cocoa 
dried coconut we are pleased to introduce our inaugural offering from an unconventional coffee-producing region in india. northeast india, often overshadowed by the prominence of its tea cultivation, has recently emerged as an enigmatic protagonist in the country’s agricultural narrative. the ascendancy of coffee in this region reflects a growing awareness and a burgeoning reputation. coffee plantations in northeast india are often set amidst lush forests, rolling hills, and high-altitude terrains. the biodiverse surroundings not only contribute to the unique flavor profiles of the coffee but also make it an environmentally sustainable crop. this assortment of naturals hails from the enchanting region of mizoram. we’ve tailored a medium-dark espresso profile that elicits a nostalgic aroma of baked biscuits, and captivating notes of cocoa and dried coconut. in the realm of indian coffee, this offering stands as a testament to the evolving story of northeast india, a narrative that marries tradition with innovation, sustainability with sensory delight, and an awakening to the hidden treasures within this agricultural landscape.",https://naivo.in/product/mizoram-naturals-india/
mogiana belle giana pulped naturals (brazil),₹400.00,cooperative guaxupé,mogiana,100% arabica,espresso roast,950 – 1200 masl,pulped naturals,"catuaí, mundo novo, tuby, ruby","white pepper, coriander, pecan nut","this coffee comes from cooperative guaxupé and is a pulped naturals that serves as a great daily driver if you are looking for a coffee that can be consumed without overwhelming the palate. experience distinct spice notes of white pepper and coriander in the aroma and rounded, nutty flavour notes. characterized by mild acidity and medium body, this is a great coffee for folks who are looking to explore coffees outside of the fruity and floral spectrums. bella giana was born under the requirement to offer an alternative high-quality brazilian coffee with 100% traceability to a premium growing region and superior cupping quality. after long and detailed analysis of the green coffee followed by comparative cupping sessions, we identified the ideal coffee from cooperative guaxupé. white pepper
coriander
pecan nut this coffee comes from cooperative guaxupé and is a pulped naturals that serves as a great daily driver if you are looking for a coffee that can be consumed without overwhelming the palate. experience distinct spice notes of white pepper and coriander in the aroma and rounded, nutty flavour notes. characterized by mild acidity and medium body, this is a great coffee for folks who are looking to explore coffees outside of the fruity and floral spectrums. bella giana was born under the requirement to offer an alternative high-quality brazilian coffee with 100% traceability to a premium growing region and superior cupping quality. after long and detailed analysis of the green coffee followed by comparative cupping sessions, we identified the ideal coffee from cooperative guaxupé.",https://naivo.in/product/mogiana-belle-giana-pulped-naturals-brazil/
monsoon malabar aa (india),₹420.00,aspinwall,karnataka,100% arabica,omni roast,1000 – 1500 masl,monsooned,various,"earthy, mellow, dark chocolate","an overcast day, a reminiscent mood and a bottomless cup of india’s famed monsoon malabar. our handpicked lots of monsooned coffee are procured from aspinwall – one of the best and largest producers of monsoon malabar in the modern world. experiment with your brewing and look out for a unique bitter dark chocolate flavor in this cup that complements its earthy and mellow characteristics. earthy
mellow
dark chocolate an overcast day, a reminiscent mood and a bottomless cup of india’s famed monsoon malabar. our handpicked lots of monsooned coffee are procured from aspinwall – one of the best and largest producers of monsoon malabar in the modern world. experiment with your brewing and look out for a unique bitter dark chocolate flavor in this cup that complements its earthy and mellow characteristics.",https://naivo.in/product/monsoon-malabar-aa-india/
rumi – baarbara pineapple naturals (microlot),₹540.00,"sreeraksha pournesh, poojya prasad",chikmagalur,100% arabica,espresso roast,1170 – 1600 masl,pineapple fermented naturals,sl795,"kiwi, grape, grilled pineapple","the art of espresso in its simplest form can be described as the search for perfection – which filtered down is nothing but the search for meaning. the ideal batch of beans, the accurate grind size, the perfect pressure of extraction and temperature of water come together to conclude in a blissful expression of flavor in the form of an espresso. this magical procedure is an endless journey toward perfection and it is one that never ends. we’ve taken a small but calculated step toward that perfection in the form of rumi – our experimental microlot form baarbara estate roasted to shine and deliver a magical espresso experience. dedicated to history’s most beloved sufi romantic poet – jalal ad-din muhammad rumi – this lot of pineapple fermented naturals is curated to deliver a sweet and exotic espresso intended to twist and delight your senses. rumi’s poetry forms an unbreakable bridge between mysterious inner dimensions and raw human experience while leaving its reader in exuberant bliss craving for more. this special lot of coffee named after this very special poet will help you brew an enchanting espresso and encourage coffee experiments that will help spark the curious and creative dimensions within you. kiwi
grape
grilled pineapple the art of espresso in its simplest form can be described as the search for perfection – which filtered down is nothing but the search for meaning. the ideal batch of beans, the accurate grind size, the perfect pressure of extraction and temperature of water come together to conclude in a blissful expression of flavor in the form of an espresso. this magical procedure is an endless journey toward perfection and it is one that never ends. we’ve taken a small but calculated step toward that perfection in the form of rumi – our experimental microlot form baarbara estate roasted to shine and deliver a magical espresso experience. dedicated to history’s most beloved sufi romantic poet – jalal ad-din muhammad rumi – this lot of pineapple fermented naturals is curated to deliver a sweet and exotic espresso intended to twist and delight your senses. rumi’s poetry forms an unbreakable bridge between mysterious inner dimensions and raw human experience while leaving its reader in exuberant bliss craving for more. this special lot of coffee named after this very special poet will help you brew an enchanting espresso and encourage coffee experiments that will help spark the curious and creative dimensions within you.",https://naivo.in/product/rumi-baarbara-pineapple-naturals-microlot/
sláinte 2024 (whiskey barrel aged coffee),₹760.00,"dm purnesh, dm shankar",sakleshpur,100% arabica,filter roast,950 – 1050 masl,whiskey barrel aged,selection 9,"dark rum, black currant, jujube","unveil hidden dimensions of complexity in this very unique lot of coffee. we worked with harley estate to produce this lot which involved aging batches of selection 9 cherries in amrut whiskey barrels for a period of 3 months. following this, the cherries were removed and dried on raised beds to complete their development. bittersweet notes of dark rum with undertones of black currant and the jujube fruit lead into an anti-climactic smoky finish. this coffee is undoubtedly only for the brave-hearted! we recommend trying this in v60 pourover, chemex and aeropress. it’s a perfect choice for cold brew lovers as it induces a lot of character into cold-brew drinks. dark rum
black currant
jujube unveil hidden dimensions of complexity in this very unique lot of coffee. we worked with harley estate to produce this lot which involved aging batches of selection 9 cherries in amrut whiskey barrels for a period of 3 months. following this, the cherries were removed and dried on raised beds to complete their development. bittersweet notes of dark rum with undertones of black currant and the jujube fruit lead into an anti-climactic smoky finish. this coffee is undoubtedly only for the brave-hearted! we recommend trying this in v60 pourover, chemex and aeropress. it’s a perfect choice for cold brew lovers as it induces a lot of character into cold-brew drinks.",https://naivo.in/product/slainte-whiskey-barrel-aged-coffee/
thogarihunkal honey (india),₹495.00,nandan gowda,chikmagalur,100% arabica,filter roast,1220 masl,honey sun dried,chandragiri,"orange blossom, grapefruit, cola candy","sit back, close your eyes and indulge in thogarihunkal honey – a work of art will take your taste buds dancing down candy lane. with rich and juicy acidity, each sip of this coffee will bring you a serendipitous encounter with mysterious notes that we are yet unable to name. overlaying these mysterious expressions is an unmissable aroma of oranges and grapefruit with a splashing dash of cola candy on your palette. here’s a coffee that will quench your morning thirst, make for an awakening initiation to a lazy sunday brunch and even light up your friday evenings before you head out to party. black is the way we like it with the chemex brewing the juiciest cup, the aeropress brewing the sweetest and a v60 displaying a more balanced rendition of this coffee. so, go ahead, indulge! process: only the sweetest cherries – with a brix level above 18 – are selectively handpicked in the honey process. the cherries are then sorted to eliminate fruit that have not completely ripened yet. the fruit are then pulped without using water. pulping is done such that some of the mucilage is still left over the inner parchment. the first stage of drying involves drying in open sunlight for 3 days. following this, drying takes place on raised beds in shade to slow down the process and reduce the impact of sunlight. the coffees are finally stored and allowed to rest for 30 days before it is shipped of to the mills. orange blossom
grapefruit
cola candy sit back, close your eyes and indulge in thogarihunkal honey – a work of art will take your taste buds dancing down candy lane. with rich and juicy acidity, each sip of this coffee will bring you a serendipitous encounter with mysterious notes that we are yet unable to name. overlaying these mysterious expressions is an unmissable aroma of oranges and grapefruit with a splashing dash of cola candy on your palette. here’s a coffee that will quench your morning thirst, make for an awakening initiation to a lazy sunday brunch and even light up your friday evenings before you head out to party. black is the way we like it with the chemex brewing the juiciest cup, the aeropress brewing the sweetest and a v60 displaying a more balanced rendition of this coffee. so, go ahead, indulge! process: only the sweetest cherries – with a brix level above 18 – are selectively handpicked in the honey process. the cherries are then sorted to eliminate fruit that have not completely ripened yet. the fruit are then pulped without using water. pulping is done such that some of the mucilage is still left over the inner parchment. the first stage of drying involves drying in open sunlight for 3 days. following this, drying takes place on raised beds in shade to slow down the process and reduce the impact of sunlight. the coffees are finally stored and allowed to rest for 30 days before it is shipped of to the mills.",https://naivo.in/product/thogarihunkal-honey-india/
thoreau – kerehaklu weaver washed (microlot) – 2023,₹515.00,"pranoy thipaiah, ajoy thipaiah",chikmagalur,100% arabica,filter roast,1160 masl,weaver washed,selection 9,"lemon, green grapes, floral","our first washed lot in the poetry of coffee collection comes from kerehaklu estate – owned, managed and nurtured by ajoy thipaiah and his son pranoy. they share a great connection with their land and an immense passion for farming and processing coffee. with a strong focus on how their practices influence the ecosystem and the surrounding environment, they bring stunning coffees to roasters across india and around the world. their process thrives on phenomenal attention to detail which in turn assists the roaster in understanding the coffee treasure being worked with to achieve a perfect transformation from green to roasted coffee. it is a rare and special ability to draw upon the most detailed observations in nature and the happenings around one to construct arduous works of art that are shrouded in curious metaphor but conceal the most beautiful truths about the earth and the universe around us. it is only fitting for us to dedicate this lot to henry david thoreau – the masterful transcendental author of the renowned literary work  walden. thoreau wrote a great deal about his solitary life in nature and how true contentment was found in learning to live in self-sufficiency. the illumination of thoreau was a consequence of his deep understanding of nature’s harmonies which were a result of his simple day-to-day life lived in a small cabin beside walden pond. experience thoreau – an elegant, washed lot with floral aromas and notes of lemon and green grapes – a work of art born out of the harmony between arduous efforts of the thipaiahs and the natural soul of kerehaklu estate. process details block: bulldozer patte block details: high density of kanchikayi lime trees in understory + cluster figs and rosewood in canopy. soil: red, rich in iron and humates, good microbial activity brix at harvest: 22.5 process: the weaver washed fermentation: sequential anoxic for 41 hours in ambient conditions of shade, aeration and regular mixing drying: 13 days in sun raking on raised beds: by hand every 30 mins lemon
green grapes
floral our first washed lot in the poetry of coffee collection comes from kerehaklu estate – owned, managed and nurtured by ajoy thipaiah and his son pranoy. they share a great connection with their land and an immense passion for farming and processing coffee. with a strong focus on how their practices influence the ecosystem and the surrounding environment, they bring stunning coffees to roasters across india and around the world. their process thrives on phenomenal attention to detail which in turn assists the roaster in understanding the coffee treasure being worked with to achieve a perfect transformation from green to roasted coffee. it is a rare and special ability to draw upon the most detailed observations in nature and the happenings around one to construct arduous works of art that are shrouded in curious metaphor but conceal the most beautiful truths about the earth and the universe around us. it is only fitting for us to dedicate this lot to henry david thoreau – the masterful transcendental author of the renowned literary work  walden. thoreau wrote a great deal about his solitary life in nature and how true contentment was found in learning to live in self-sufficiency. the illumination of thoreau was a consequence of his deep understanding of nature’s harmonies which were a result of his simple day-to-day life lived in a small cabin beside walden pond. experience thoreau – an elegant, washed lot with floral aromas and notes of lemon and green grapes – a work of art born out of the harmony between arduous efforts of the thipaiahs and the natural soul of kerehaklu estate. process details block: bulldozer patte block details: high density of kanchikayi lime trees in understory + cluster figs and rosewood in canopy. soil: red, rich in iron and humates, good microbial activity brix at harvest: 22.5 process: the weaver washed fermentation: sequential anoxic for 41 hours in ambient conditions of shade, aeration and regular mixing drying: 13 days in sun raking on raised beds: by hand every 30 mins",https://naivo.in/product/thoreau-kerehaklu-weaver-washed-microlot/
unnakki estate washed (india),₹470.00,utsav gowda,joldal,100% arabica,omni roast,1220 – 1370 masl,washed,chandragiri,"cane sugar, apricot, honey","as we traverse the vast and expanding landscape of complex coffees birthed by even more complex special fermentation techniques, there is a sense of nostalgia and attachment to washed lots. and when we stumble across a washed lot with distinguished characteristics and explosively bright and sweet expressions, we cannot help but make it our daily driver coffee. our relationship with unnakki estate began through continued conversations with the young and passionate utsav gowda who orchestrates the show at the farm. an aspiring lawyer shuffling between classes, exams and protecting his harvest against unexpected rains at the coffee farm, utsav is the perfect representation of the future of indian coffee. we are delighted to bring you this juicy washed lot that displays scrumptious expressions of cane sugar and apricot with undertones of natural honey. enjoy this diverse coffee in aeropress, v60, french press, chemex, traditional drip filters and espresso! cane sugar
apricot
honey as we traverse the vast and expanding landscape of complex coffees birthed by even more complex special fermentation techniques, there is a sense of nostalgia and attachment to washed lots. and when we stumble across a washed lot with distinguished characteristics and explosively bright and sweet expressions, we cannot help but make it our daily driver coffee. our relationship with unnakki estate began through continued conversations with the young and passionate utsav gowda who orchestrates the show at the farm. an aspiring lawyer shuffling between classes, exams and protecting his harvest against unexpected rains at the coffee farm, utsav is the perfect representation of the future of indian coffee. we are delighted to bring you this juicy washed lot that displays scrumptious expressions of cane sugar and apricot with undertones of natural honey. enjoy this diverse coffee in aeropress, v60, french press, chemex, traditional drip filters and espresso!",https://naivo.in/product/unnakki-estate-washed-india/
venkids valley washed (india) – fine robusta,₹375.00,pavan & shilpa nanjappa,coorg,100% fine robusta,omni roast,800 – 1150 masl,washed,"old peradeniya, cxr","cardamom, nutmeg, dark chocolate","we’ve made much progress on our exploration of fine robustas in the effort to showcase the high quality of robusta coffee produced in india. most of indian robusta is exported to europe and australia while the major volume of what stays in the country is used by instant coffee manufacturers and roasters focused on mass-produced commercial blends for espresso and south indian filter coffee. with revolutionary advancements in farming, fermentation and post-harvest processing, our producers are now inducing a great deal of excitement in the robusta space. this washed lot from venkids valley estate delivers a lip-smacking espresso with spicy expressions of nutmeg and cardamom and a strong dark chocolate finish. our omni-roast has helped tailor this lot for an interesting experience in manual brews as well with pourover brewing and aeropress delivering a full-bodied cup with similar spice notes and an underlying jaggery sweetness. if you are a robusta enthusiast or a coffee lover with a curious mind, we highly recommend this lot that showcases the promising future of indian washed robustas. cardamom
nutmeg
dark chocolate we’ve made much progress on our exploration of fine robustas in the effort to showcase the high quality of robusta coffee produced in india. most of indian robusta is exported to europe and australia while the major volume of what stays in the country is used by instant coffee manufacturers and roasters focused on mass-produced commercial blends for espresso and south indian filter coffee. with revolutionary advancements in farming, fermentation and post-harvest processing, our producers are now inducing a great deal of excitement in the robusta space. this washed lot from venkids valley estate delivers a lip-smacking espresso with spicy expressions of nutmeg and cardamom and a strong dark chocolate finish. our omni-roast has helped tailor this lot for an interesting experience in manual brews as well with pourover brewing and aeropress delivering a full-bodied cup with similar spice notes and an underlying jaggery sweetness. if you are a robusta enthusiast or a coffee lover with a curious mind, we highly recommend this lot that showcases the promising future of indian washed robustas.",https://naivo.in/product/venkids-valley-washed-india-fine-robusta/
